Six-Digit Numbers,Sum of Digits,Sum Mod 8,(8 - x) Mod 8
121442,14,6,2
121443,15,7,1
121444,16,0,0
121445,17,1,7
121446,18,2,6
121451,14,6,2
121452,15,7,1
121453,16,0,0
121454,17,1,7
121455,18,2,6
121456,19,3,5
121461,15,7,1
121462,16,0,0
121463,17,1,7
121464,18,2,6
121465,19,3,5
121466,20,4,4
121511,11,3,5
121512,12,4,4
121513,13,5,3
121514,14,6,2
121515,15,7,1
121516,16,0,0
121521,12,4,4
121522,13,5,3
121523,14,6,2
121524,15,7,1
121525,16,0,0
121526,17,1,7
121531,13,5,3
121532,14,6,2
121533,15,7,1
121534,16,0,0
121535,17,1,7
121536,18,2,6
121541,14,6,2
121542,15,7,1
121543,16,0,0
121544,17,1,7
121545,18,2,6
121546,19,3,5
121551,15,7,1
121552,16,0,0
121553,17,1,7
121554,18,2,6
121555,19,3,5
121556,20,4,4
121561,16,0,0
121562,17,1,7
121563,18,2,6
121564,19,3,5
121565,20,4,4
121566,21,5,3
121611,12,4,4
121612,13,5,3
121613,14,6,2
121614,15,7,1
121615,16,0,0
121616,17,1,7
121621,13,5,3
121622,14,6,2
121623,15,7,1
121624,16,0,0
121625,17,1,7
121626,18,2,6
121631,14,6,2
121632,15,7,1
121633,16,0,0
121634,17,1,7
121635,18,2,6
121636,19,3,5
121641,15,7,1
121642,16,0,0
121643,17,1,7
121644,18,2,6
121645,19,3,5
121646,20,4,4
121651,16,0,0
121652,17,1,7
121653,18,2,6
121654,19,3,5
121655,20,4,4
121656,21,5,3
121661,17,1,7
121662,18,2,6
121663,19,3,5
121664,20,4,4
121665,21,5,3
121666,22,6,2
122111,8,0,0
122112,9,1,7
122113,10,2,6
122114,11,3,5
122115,12,4,4
122116,13,5,3
122121,9,1,7
122122,10,2,6
122123,11,3,5
122124,12,4,4
122125,13,5,3
122126,14,6,2
122131,10,2,6
122132,11,3,5
122133,12,4,4
122134,13,5,3
122135,14,6,2
122136,15,7,1
122141,11,3,5
122142,12,4,4
122143,13,5,3
